priority_rank,symbol,date,window_t,agent_label,confidence,broken_assessment,reason,visual_evidence,chart_ref,founder_label,notes
11,TSLA,2023-05-30,1360,genuinely_unclear,0.5,spurious (pullback),Binding cap is 'contradictory' - structure conflicts with the Clean trend at this bar; clarity is held down by that conflict not only by Broken. The Broken flag itself looks spurious (pullback).,pen=4.80 ATR; bars_below=20; reclaimed=True; trip_inplay=True; trip_dist=0.4 ATR; nearest_support=0.4 ATR; pivot_age=144 bars,founder_review_charts.html#win-TSLA-2023-05-30,,
12,GE,2019-05-10,340,genuinely_unclear,0.5,spurious (pullback),Binding cap is 'contradictory' - structure conflicts with the Clean trend at this bar; clarity is held down by that conflict not only by Broken. The Broken flag itself looks spurious (pullback).,pen=2.69 ATR; bars_below=11; reclaimed=True; trip_inplay=True; trip_dist=1.1 ATR; nearest_support=1.1 ATR; pivot_age=25 bars,founder_review_charts.html#win-GE-2019-05-10,,
13,AAPL,2023-02-02,1280,genuinely_unclear,0.48,uncertain,Price made a deep 6.36 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=6.36 ATR; bars_below=20; reclaimed=True; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=0.3 ATR; pivot_age=90 bars,founder_review_charts.html#win-AAPL-2023-02-02,,
14,SPY,2019-01-15,260,genuinely_unclear,0.48,uncertain,Price made a deep 4.61 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=4.61 ATR; bars_below=14; reclaimed=True; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=0.5 ATR; pivot_age=47 bars,founder_review_charts.html#win-SPY-2019-01-15,,
15,META,2026-04-14,2080,genuinely_unclear,0.48,uncertain,Price made a deep 4.76 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=4.76 ATR; bars_below=16; reclaimed=True; trip_inplay=True; trip_dist=1.6 ATR; nearest_support=1.6 ATR; pivot_age=33 bars,founder_review_charts.html#win-META-2026-04-14,,
16,AMZN,2022-03-18,1060,genuinely_unclear,0.48,uncertain,Price made a deep 3.28 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=3.28 ATR; bars_below=18; reclaimed=True; trip_inplay=True; trip_dist=0.9 ATR; nearest_support=0.9 ATR; pivot_age=42 bars,founder_review_charts.html#win-AMZN-2022-03-18,,
17,AMZN,2025-11-17,1980,genuinely_unclear,0.48,uncertain,Price made a deep 1.44 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=1.44 ATR; bars_below=6; reclaimed=True; trip_inplay=True; trip_dist=1.0 ATR; nearest_support=1.0 ATR; pivot_age=41 bars,founder_review_charts.html#win-AMZN-2025-11-17,,
18,KO,2025-10-20,1960,genuinely_unclear,0.48,uncertain,Price made a deep 2.94 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=2.94 ATR; bars_below=19; reclaimed=True; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=0.3 ATR; pivot_age=79 bars,founder_review_charts.html#win-KO-2025-10-20,,
19,JPM,2026-04-14,2080,genuinely_unclear,0.48,uncertain,Price made a deep 2.00 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=2.00 ATR; bars_below=12; reclaimed=True; trip_inplay=True; trip_dist=2.3 ATR; nearest_support=2.3 ATR; pivot_age=50 bars,founder_review_charts.html#win-JPM-2026-04-14,,
20,CVX,2020-11-10,720,genuinely_unclear,0.48,uncertain,Price made a deep 4.38 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=4.38 ATR; bars_below=20; reclaimed=True; trip_inplay=True; trip_dist=0.7 ATR; nearest_support=0.7 ATR; pivot_age=66 bars,founder_review_charts.html#win-CVX-2020-11-10,,
21,DIS,2025-04-29,1840,genuinely_unclear,0.48,uncertain,Price made a deep 2.49 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=2.49 ATR; bars_below=13; reclaimed=True; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=0.5 ATR; pivot_age=132 bars,founder_review_charts.html#win-DIS-2025-04-29,,
22,CVX,2023-12-18,1500,genuinely_unclear,0.48,uncertain,Price made a deep 1.60 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=1.60 ATR; bars_below=18; reclaimed=True; trip_inplay=True; trip_dist=0.9 ATR; nearest_support=0.9 ATR; pivot_age=110 bars,founder_review_charts.html#win-CVX-2023-12-18,,
23,INTC,2020-12-09,740,genuinely_unclear,0.48,uncertain,Price made a deep 3.99 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=3.99 ATR; bars_below=15; reclaimed=True; trip_inplay=True; trip_dist=0.1 ATR; nearest_support=0.1 ATR; pivot_age=169 bars,founder_review_charts.html#win-INTC-2020-12-09,,
24,WMT,2020-04-23,580,genuinely_unclear,0.48,uncertain,Price made a deep 1.57 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=1.57 ATR; bars_below=6; reclaimed=True; trip_inplay=True; trip_dist=2.5 ATR; nearest_support=2.5 ATR; pivot_age=45 bars,founder_review_charts.html#win-WMT-2020-04-23,,
25,WMT,2021-04-07,820,genuinely_unclear,0.48,uncertain,Price made a deep 4.57 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=4.57 ATR; bars_below=18; reclaimed=True; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=0.5 ATR; pivot_age=40 bars,founder_review_charts.html#win-WMT-2021-04-07,,
26,QQQ,2019-08-06,400,genuinely_unclear,0.45,uncertain,Decisive 1.31 ATR penetration of the in-play support but only 2 bar(s) below the threshold - a fresh unconfirmed break; too early to call broken vs pullback.,pen=1.31 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=2.0 ATR; pivot_age=24 bars,founder_review_charts.html#win-QQQ-2019-08-06,,
27,TSLA,2024-01-18,1520,genuinely_unclear,0.45,uncertain,Moderate 0.52 ATR penetration of the in-play support over 1 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.52 ATR; bars_below=1; reclaimed=False; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=0.5 ATR; pivot_age=99 bars,founder_review_charts.html#win-TSLA-2024-01-18,,
28,AMZN,2019-08-06,400,genuinely_unclear,0.45,uncertain,Decisive 1.34 ATR penetration of the in-play support but only 2 bar(s) below the threshold - a fresh unconfirmed break; too early to call broken vs pullback.,pen=1.34 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.8 ATR; nearest_support=1.2 ATR; pivot_age=53 bars,founder_review_charts.html#win-AMZN-2019-08-06,,
29,AAPL,2021-05-05,840,genuinely_unclear,0.45,uncertain,Moderate 0.95 ATR penetration of the in-play support over 3 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.95 ATR; bars_below=3; reclaimed=False; trip_inplay=True; trip_dist=0.9 ATR; nearest_support=0.6 ATR; pivot_age=5 bars,founder_review_charts.html#win-AAPL-2021-05-05,,
30,JPM,2019-08-06,400,genuinely_unclear,0.45,uncertain,Decisive 1.19 ATR penetration of the in-play support but only 2 bar(s) below the threshold - a fresh unconfirmed break; too early to call broken vs pullback.,pen=1.19 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.8 ATR; nearest_support=0.5 ATR; pivot_age=6 bars,founder_review_charts.html#win-JPM-2019-08-06,,
31,GE,2026-03-16,2060,genuinely_unclear,0.45,uncertain,Moderate 0.70 ATR penetration of the in-play support over 2 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.70 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=1.5 ATR; pivot_age=45 bars,founder_review_charts.html#win-GE-2026-03-16,,
32,AVGO,2019-08-06,400,genuinely_unclear,0.45,uncertain,Moderate 0.73 ATR penetration of the in-play support over 2 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.73 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.7 ATR; nearest_support=1.4 ATR; pivot_age=15 bars,founder_review_charts.html#win-AVGO-2019-08-06,,
33,CVX,2019-08-06,400,genuinely_unclear,0.45,uncertain,Decisive 1.06 ATR penetration of the in-play support but only 2 bar(s) below the threshold - a fresh unconfirmed break; too early to call broken vs pullback.,pen=1.06 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.7 ATR; nearest_support=0.8 ATR; pivot_age=86 bars,founder_review_charts.html#win-CVX-2019-08-06,,
34,CVX,2019-10-02,440,genuinely_unclear,0.45,uncertain,Moderate 0.58 ATR penetration of the in-play support over 1 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.58 ATR; bars_below=1; reclaimed=False; trip_inplay=True; trip_dist=0.6 ATR; nearest_support=1.8 ATR; pivot_age=16 bars,founder_review_charts.html#win-CVX-2019-10-02,,
35,KO,2023-07-27,1400,true_broken,0.85,valid,Decisive close-through of the in-play support by 4.26 ATR over 17 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=4.26 ATR; bars_below=17; reclaimed=False; trip_inplay=True; trip_dist=0.2 ATR; nearest_support=1.3 ATR; pivot_age=57 bars,founder_review_charts.html#win-KO-2023-07-27,,
36,XOM,2025-04-29,1840,true_broken,0.85,valid,Decisive close-through of the in-play support by 2.96 ATR over 14 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=2.96 ATR; bars_below=14; reclaimed=False; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=1.0 ATR; pivot_age=141 bars,founder_review_charts.html#win-XOM-2025-04-29,,
37,GE,2022-03-18,1060,true_broken,0.85,valid,Decisive close-through of the in-play support by 3.41 ATR over 16 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=3.41 ATR; bars_below=16; reclaimed=False; trip_inplay=True; trip_dist=0.2 ATR; nearest_support=1.2 ATR; pivot_age=119 bars,founder_review_charts.html#win-GE-2022-03-18,,
38,KO,2021-11-22,980,true_broken,0.72,valid,Decisive close-through of the in-play support by 2.17 ATR over 4 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=2.17 ATR; bars_below=4; reclaimed=False; trip_inplay=True; trip_dist=0.2 ATR; nearest_support=0.6 ATR; pivot_age=72 bars,founder_review_charts.html#win-KO-2021-11-22,,
39,WMT,2021-11-22,980,true_broken,0.72,valid,Decisive close-through of the in-play support by 1.89 ATR over 5 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=1.89 ATR; bars_below=5; reclaimed=False; trip_inplay=True; trip_dist=0.6 ATR; nearest_support=1.7 ATR; pivot_age=54 bars,founder_review_charts.html#win-WMT-2021-11-22,,
40,NVDA,2021-05-05,840,true_broken,0.65,valid,Decisive close-through of the in-play support by 1.30 ATR over 5 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=1.30 ATR; bars_below=5; reclaimed=False; trip_inplay=True; trip_dist=0.7 ATR; nearest_support=3.3 ATR; pivot_age=4 bars,founder_review_charts.html#win-NVDA-2021-05-05,,
