symbol,date,final_state,final_score,caps,zone,location,regime,extension,trend,weakest_lens,why_not_higher,founder_label,founder_note
GE,2020-02-26,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),stale_zone_false_cap,"conf=0.60-0.65. Borderline. Pullback is sharp and reclaimed=False, but Broken was triggered by a secondary support while the nearest active support around 52-55 did not clearly break. The cap appears to come from the wrong level."
GE,2022-03-18,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
GE,2026-03-16,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
AMD,2019-08-06,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),normal_pullback_false_cap,"conf=0.75. Relevant in-play support was tested after a sharp pullback, but price reclaimed/held the zone. Broken cap looks too strict; this is a normal pullback false cap, not a confirmed breakdown."
AVGO,2019-08-06,Mixed,50,broken;agree3,Broken,Lower,Trend,Normal,Clean,Zone,capped by broken (<= 50),genuinely_unclear,"conf=0.60-0.65. Moderate 0.73 ATR penetration below the in-play support over 2 bars, with no reclaim yet. Broken level is active and relevant (not stale/secondary); price has not reclaimed (not a clean pullback). Evidence does not clearly separate a real breakdown from a pullback."
CVX,2019-08-06,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
CVX,2019-10-02,Mixed,50,broken;agree3,Broken,Lower,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
CVX,2020-11-10,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),genuinely_unclear,"conf=0.70. Deep 4.38 ATR excursion below the in-play support, with 20 bars below before reclaim. The chart remains structurally conflicted after a deep volatility round-trip back into the active zone."
DIS,2025-04-29,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),genuinely_unclear,"conf=0.70. Deep 2.49 ATR excursion below the in-play support, with 13 bars below before reclaim. Not a clean pullback and not a stale/secondary-zone case. Structurally conflicted around the active 88-96 zone."
CVX,2023-12-18,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
INTC,2020-12-09,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
INTC,2023-09-22,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),normal_pullback_false_cap,"conf=0.65. Broken fired on a relevant in-play support zone around 33-35. The drop was sharp, but price was retesting the active support zone rather than clearly breaking down below it. More borderline than AMD/JPM, but still likely a normal pullback false cap."
WMT,2020-04-23,Mixed,50,broken;agree3,Broken,Upper,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
WMT,2021-04-07,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
WMT,2021-11-22,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
WMT,2023-05-30,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Stretched,Clean,Zone,capped by broken (<= 50),stale_zone_false_cap,"conf=0.65. Broken fired on a secondary support while the nearest active structure remained intact. Price was pulling back after a clean advance and was still testing the active 47-48 / 45.5-46 support structure, not clearly breaking down."
