symbol,date,t,final_state,final_score,binding_cap,zone,location,regime,extension,trend,agent_label,confidence,broken_zone_assessment,reason,visual_evidence,diag_trip_inplay,diag_penetration_atr,diag_bars_below,diag_reclaimed,diag_pivot_age_bars,diag_nearest_sup_atr,diag_trip_cluster_atr,diag_n_sup_clusters,engine_zone_state,founder_label,agreement
XOM,2025-04-29,1840,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Normal,Clean,true_broken,0.85,valid,Decisive close-through of the in-play support by 2.96 ATR over 14 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=2.96 ATR; bars_below=14; reclaimed=False; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=1.0 ATR; pivot_age=141 bars,True,2.96,14,False,141,1.04,0.3,18,Broken,,
JPM,2019-08-06,400,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,genuinely_unclear,0.45,uncertain,Decisive 1.19 ATR penetration of the in-play support but only 2 bar(s) below the threshold - a fresh unconfirmed break; too early to call broken vs pullback.,pen=1.19 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.8 ATR; nearest_support=0.5 ATR; pivot_age=6 bars,True,1.19,2,False,6,0.5,0.76,8,Broken,,
JPM,2019-10-02,440,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,normal_pullback_false_cap,0.65,spurious (pullback),Price dipped 1.01 ATR below the in-play support within the window but reclaimed it by this bar with a Clean trend / Trend regime - an ordinary pullback through the level not a break.,pen=1.01 ATR; bars_below=1; reclaimed=True; trip_inplay=True; trip_dist=0.6 ATR; nearest_support=0.6 ATR; pivot_age=46 bars,True,1.01,1,True,46,0.62,0.62,8,Broken,normal_pullback_false_cap,agree
JPM,2026-04-14,2080,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Normal,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 2.00 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=2.00 ATR; bars_below=12; reclaimed=True; trip_inplay=True; trip_dist=2.3 ATR; nearest_support=2.3 ATR; pivot_age=50 bars,True,2.0,12,True,50,2.28,2.28,22,Broken,,
GE,2020-02-26,540,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,stale_zone_false_cap,0.61,spurious (stale),Broken fired on a secondary support ~1.2 ATR from price while the nearest in-play support (~0.3 ATR) did not break; constituent pivots ~19 bars old. Nearest structure intact.,pen=1.19 ATR; bars_below=2; reclaimed=False; trip_inplay=False; trip_dist=1.2 ATR; nearest_support=0.3 ATR; pivot_age=19 bars,False,1.19,2,False,19,0.29,1.19,13,Broken,stale_zone_false_cap,agree
GE,2022-03-18,1060,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Normal,Clean,true_broken,0.85,valid,Decisive close-through of the in-play support by 3.41 ATR over 16 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=3.41 ATR; bars_below=16; reclaimed=False; trip_inplay=True; trip_dist=0.2 ATR; nearest_support=1.2 ATR; pivot_age=119 bars,True,3.41,16,False,119,1.22,0.2,15,Broken,,
GE,2026-03-16,2060,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Normal,Clean,genuinely_unclear,0.45,uncertain,Moderate 0.70 ATR penetration of the in-play support over 2 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.70 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=1.5 ATR; pivot_age=45 bars,True,0.7,2,False,45,1.49,0.31,14,Broken,,
AMD,2019-08-06,400,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,normal_pullback_false_cap,0.7,spurious (pullback),Price dipped 0.52 ATR below the in-play support within the window but reclaimed it by this bar with a Clean trend / Trend regime - an ordinary pullback through the level not a break.,pen=0.52 ATR; bars_below=1; reclaimed=True; trip_inplay=True; trip_dist=0.1 ATR; nearest_support=0.1 ATR; pivot_age=25 bars,True,0.52,1,True,25,0.14,0.14,13,Broken,normal_pullback_false_cap,agree
AVGO,2019-08-06,400,Mixed,50,capped by broken (<= 50),Broken,Lower,Trend,Normal,Clean,genuinely_unclear,0.45,uncertain,Moderate 0.73 ATR penetration of the in-play support over 2 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.73 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.7 ATR; nearest_support=1.4 ATR; pivot_age=15 bars,True,0.73,2,False,15,1.44,0.73,8,Broken,genuinely_unclear,agree
CVX,2019-08-06,400,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,genuinely_unclear,0.45,uncertain,Decisive 1.06 ATR penetration of the in-play support but only 2 bar(s) below the threshold - a fresh unconfirmed break; too early to call broken vs pullback.,pen=1.06 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.7 ATR; nearest_support=0.8 ATR; pivot_age=86 bars,True,1.06,2,False,86,0.85,0.74,9,Broken,,
CVX,2019-10-02,440,Mixed,50,capped by broken (<= 50),Broken,Lower,Trend,Stretched,Clean,genuinely_unclear,0.45,uncertain,Moderate 0.58 ATR penetration of the in-play support over 1 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.58 ATR; bars_below=1; reclaimed=False; trip_inplay=True; trip_dist=0.6 ATR; nearest_support=1.8 ATR; pivot_age=16 bars,True,0.58,1,False,16,1.81,0.58,8,Broken,,
CVX,2020-11-10,720,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 4.38 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=4.38 ATR; bars_below=20; reclaimed=True; trip_inplay=True; trip_dist=0.7 ATR; nearest_support=0.7 ATR; pivot_age=66 bars,True,4.38,20,True,66,0.7,0.7,13,Broken,genuinely_unclear,agree
DIS,2025-04-29,1840,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 2.49 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=2.49 ATR; bars_below=13; reclaimed=True; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=0.5 ATR; pivot_age=132 bars,True,2.49,13,True,132,0.46,0.46,21,Broken,genuinely_unclear,agree
CVX,2023-12-18,1500,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 1.60 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=1.60 ATR; bars_below=18; reclaimed=True; trip_inplay=True; trip_dist=0.9 ATR; nearest_support=0.9 ATR; pivot_age=110 bars,True,1.6,18,True,110,0.92,0.92,27,Broken,,
INTC,2020-12-09,740,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 3.99 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=3.99 ATR; bars_below=15; reclaimed=True; trip_inplay=True; trip_dist=0.1 ATR; nearest_support=0.1 ATR; pivot_age=169 bars,True,3.99,15,True,169,0.1,0.1,11,Broken,,
INTC,2023-09-22,1440,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,normal_pullback_false_cap,0.65,spurious (pullback),Price dipped 1.02 ATR below the in-play support within the window but reclaimed it by this bar with a Clean trend / Trend regime - an ordinary pullback through the level not a break.,pen=1.02 ATR; bars_below=2; reclaimed=True; trip_inplay=True; trip_dist=0.4 ATR; nearest_support=0.4 ATR; pivot_age=27 bars,True,1.02,2,True,27,0.4,0.4,20,Broken,normal_pullback_false_cap,agree
WMT,2020-04-23,580,Mixed,50,capped by broken (<= 50),Broken,Upper,Trend,Stretched,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 1.57 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=1.57 ATR; bars_below=6; reclaimed=True; trip_inplay=True; trip_dist=2.5 ATR; nearest_support=2.5 ATR; pivot_age=45 bars,True,1.57,6,True,45,2.52,2.52,6,Broken,,
WMT,2021-04-07,820,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 4.57 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=4.57 ATR; bars_below=18; reclaimed=True; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=0.5 ATR; pivot_age=40 bars,True,4.57,18,True,40,0.53,0.53,20,Broken,,
WMT,2021-11-22,980,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Normal,Clean,true_broken,0.72,valid,Decisive close-through of the in-play support by 1.89 ATR over 5 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=1.89 ATR; bars_below=5; reclaimed=False; trip_inplay=True; trip_dist=0.6 ATR; nearest_support=1.7 ATR; pivot_age=54 bars,True,1.89,5,False,54,1.71,0.57,20,Broken,,
WMT,2023-05-30,1360,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Stretched,Clean,stale_zone_false_cap,0.6,spurious (stale),Broken fired on a secondary support ~1.1 ATR from price while the nearest in-play support (~2.0 ATR) did not break; constituent pivots ~14 bars old. Nearest structure intact.,pen=1.07 ATR; bars_below=4; reclaimed=False; trip_inplay=False; trip_dist=1.1 ATR; nearest_support=2.0 ATR; pivot_age=14 bars,False,1.07,4,False,14,1.97,1.07,25,Broken,stale_zone_false_cap,agree
